;text;retweet;coordinates;created_at;location;favourites_count;followers_count;friends_count;statuses_count;q_retweet_count;score;sentiment
0;Dou 24 horas pra Jovem Klan anunciar a contratação do Alexandre Garcia q acaba de ser demitido da CNN.;1010;;Fri Sep 24 22:51:22 +0000 2021;Rio de Janeiro;6966;13886061;713;16583;0;-0.727595;negative
1;A CNN desmentiu novamente Alexandre Garcia que defendeu a empresa investigada Prevent Senior. Importante posiciona… ;449;;Fri Sep 24 19:53:43 +0000 2021;Porto Alegre;7269;145634;1963;21236;0;0.0;neutral
2;O jornalista Alexandre Garcia foi demitido da CNN hoje. A imprensa brasileira está priorizando apenas uma versão n… ;871;;Sat Sep 25 00:45:32 +0000 2021;Brasil;445;48529;1071;12124;0;0.0;neutral
3;Tudo que Alexandre Garcia faz é militância Bolsonarista. Daí vem vcs e dizem que na… ;0;;Sun Sep 26 02:03:28 +0000 2021;;90;2;82;1849;0;0.0;neutral
4;Parabéns por ter mandado esse lixo propagador de notícias falsas chamado Alexandre Garcia embora da emis… ;0;;Sun Sep 26 02:03:02 +0000 2021;Diadema SP;38;1003;16;53242;0;-0.813857;negative
5;Desmentiu oq não era mentiragalerapodem fazer o tratamento precocecom Cloroquina e Ivermectina. Alexandre Garcia… ;0;;Sun Sep 26 02:02:49 +0000 2021;;7879;130;374;1511;0;0.0;neutral
6;Se o retorno de Alexandre Garcia à CNN for real a gente conclui que a fase de bosta ainda não passou.;0;;Sun Sep 26 02:02:27 +0000 2021;Rio de Janeiro;15099;933;1204;6120;0;-0.604585;negative
7;Jovem Pan com ressalva a alguns de seus programas e comentaristas. E necessitamos de contraponto.… ;0;;Sun Sep 26 02:01:28 +0000 2021;;86379;1392;2118;15543;0;-0.428451;negative
8;O Alexandre Garcia defendeu o uso da HCQ e foi demitido da CNN. A HCQ NÃO mata os VÍRUS mas pode IMPEDIR que os VÍ… ;0;;Sun Sep 26 02:01:06 +0000 2021;São Paulo, Brasil;77;89;277;2983;0;0.0;neutral
9;Parabéns Alexandre Garcia. Seguimos juntos torcendo por um Brasil melhor.;0;;Sun Sep 26 02:00:52 +0000 2021;;31;1;16;13;0;0.987673;positive
10;Alexandre Garcia é independente e muito maior do que essa emissora comunista que faz ce… ;0;;Sun Sep 26 02:00:31 +0000 2021;;58;0;35;61;0;0.0;neutral
11;Esse Senhor é o dono da #CNNLixo quem em junho/21 defendeu o tratamento precoce. Ele pode Alexandre G… ;2;;Sun Sep 26 01:59:25 +0000 2021;Brasil;9234;35008;8955;117271;0;0.0;neutral
12;CNN demite Alexandre Garcia / Barroso proíbe missões cristãs em terras i... ;0;;Sun Sep 26 01:58:52 +0000 2021;-23.547371,-46.633111;116;37;289;94573;0;0.0;neutral
13;Parabéns Alexandre Garcia. Devia ter se aposentado no Jornal da Globo. Sem blindagem a máscara caiu. Preferiu ence… ;0;;Sun Sep 26 01:58:38 +0000 2021;São Paulo;23195;419;359;15851;0;-0.749805;negative
14;Alexandre Garcia já vai tarde! Representa o cúmulo da falta de ética no jornalismo com disseminação de… ;0;;Sun Sep 26 01:58:18 +0000 2021;;8063;249;634;7325;0;-0.813491;negative
15;Graças a Deus !!! Novos voos Alexandre Garcia !!!! ;0;;Sun Sep 26 01:58:00 +0000 2021;Brasil- rj;31923;235;317;16635;110;0.920804;positive
16;Viva a liberdade de expressao viva a Alexandre Garcia.;0;;Sun Sep 26 01:57:40 +0000 2021;;6717;24;102;929;0;0.0;neutral
17;PQ CRÍTICAR A CNN. E CERTO ELE FAZER O Q FEZ. .NOTA MIL PARA A CNN.👏👏👏👏👏👏 Internautas criticam CNN por dem… ;0;;Sun Sep 26 01:57:26 +0000 2021;ARACAJU;13918;200;482;4637;0;0.553282;positive
18;ALEXANDRE GARCIA É ALEXANDRE GARCIA VAMOS RESPEITAR !!! BRABO DEMAIS 🇧🇷💪🏽;0;;Sun Sep 26 01:57:25 +0000 2021;;4529;103;277;1040;0;0.786752;positive
19;Em solidariedade ao grande jornalista Alexandre Garcia e por se posicionar sectarismo e ideológica CNN perde assinantes em massa;0;;Sun Sep 26 01:57:08 +0000 2021;Curitiba ;38;138;510;423;0;0.0;neutral
20;Alexandre Garcia e Percival Puggina juntos teriam potencial o bastante pra causar muita dor de cabeça para a impren… ;0;;Sun Sep 26 01:56:46 +0000 2021;Brasil;983;629;693;17434;0;0.0;neutral
21;Alexandre Garcia tem poder o bastante pra abrir um CNPJ e criar um veículo de imprensa capaz de se tornar um enorme… ;0;;Sun Sep 26 01:55:36 +0000 2021;Brasil;983;629;693;17434;0;0.0;neutral
22;*Hipocrisia: Em junho dono da CNN Brasil defendeu o tratamento precoce* Nesta sexta-feira o jornalista Alexandre… ;0;;Sun Sep 26 01:55:15 +0000 2021;SÃO PAULO - SP - BRASIL;143428;8995;6184;299700;0;-0.825505;negative
23;Hahahahah... O cara é o Alexandre Garcia seu arrombado.… ;0;;Sun Sep 26 01:54:10 +0000 2021;;66768;120;171;18004;0;-0.784857;negative
24;Parabéns Alexandre Garcia credibilidade e compromisso com o cidadão brasileiro 🇧🇷🇧🇷🇧🇷🇧🇷;0;;Sun Sep 26 01:53:42 +0000 2021;;36144;139;384;3273;0;0.941084;positive
25;E pensar que o William Waack e o Felipe Moura Brasil poderiam ter a mesma reputação do Alexandre Garcia.;0;;Sun Sep 26 01:53:25 +0000 2021;Rio de Janeiro;94;421;419;1458;0;0.0;neutral
